PassInfo,Class,Deck,Cabin No.,Name,Evidence,Comments
,,,,,,
0,First Class,Boat Deck,,,,"6 cabins, accommodation for 7 people."
1,First Class,Boat Deck,"""T""","Blackwell, Mr Stephen Weart",Cave List,There is no evidence that anyone else occupied a Boat Deck cabin.
,,,,,,
0,First Class,A Deck,A Deck,,,"36 cabins, accommodation for 48 people."
1,First Class,A Deck,A-5,"Goldschmidt, Mr George B.",Cave List,
1,First Class,A Deck,A-6 or A-8 (?),"Beattie, Mr Thomson
McCaffry, Mr Thomas Francis",Peuchen\'s testimony at the Senate inquiry,"When Peuchen is asked about where his friends were, he said A-12 for Ross and ""A-8 and numbers to that affect"" for Beattie and McCaffry. This suggests that Beattie and McCaffry may have moved from C deck to be near their sick friend, occupying cabins A-8 and perhaps A-6. If Beattie and McCaffry did move to A deck, it is possible that Mr Beattie was in A-8 and McCaffry in A-6."
1,First Class,A Deck,A-7,"Smith, Mr James Clinch",Cave List,
1,First Class,A Deck,A-9,"Chevré, Mr Paul Romaine",Cave List,
1,First Class,A Deck,A-10,"Ross, Mr John Hugo",Cave List,Peuchen testified that Ross was in A-12 (source: his Senate inquiry testimony) unless Ross was moved after the publication of the Cave List it is most likely that Peuchen was mistaken.
1,First Class,A Deck,A-11 (?),"Rosenbaum (Russell), Miss Edith Louise",Personal account (? specific source),Miss Rosenbaum booked late and does not appear on any cabin lists. She herself stated that she was in A-11.
1,First Class,A Deck,A-12 (?),"Sloper, Mr William Thompson",Speculation,"Sloper\'s cabin number is not known for certain. A-12: Given the port of embarkation and ticket office A-12 would have been permitted for the price Sloper paid. Sloper\'s account appears in the book ""The life and times of Andrew Jackson Sloper"" Which is a book he wrote about his father but seemed to consist mainly of his own memoirs. In it he claims he ""<U+0085>was going through the door when Ross called out<U+0085>"" This was most probably the door of his cabin. But even if Sloper was leaving A-12, he would have still heard Ross, since A-12 was next door to Ross\' cabin A-10. Sloper also confuses the reader in his account. In it he describes playing cards in the Lounge with Miss Gibson and others, when they leave and are ""<U+0085>standing at the top of the stairs<U+0085>"" Miss Gibson decided they should all go for a walk before retiring. Sloper then continues that he ran down one flight of stairs to his cabin. This gives an impression that he was on B deck. But there is more evidence that he was on A deck, he remembers meeting Mr Dulles (A-18)."
1,First Class,A Deck,A-16,"Duff Gordon, Sir Cosmo Edmund",Cave List,
1,First Class,A Deck,A-18,"Dulles, Mr William Crothers",Cave List,
1,First Class,A Deck,A-19,"Smith, Mr Richard William",Cave List,
1,First Class,A Deck,A-20,"Duff Gordon, Lady",Cave List,
1,First Class,A Deck,A-21,"Brady, Mr John Bertram",Cave List,Berth 1
1,First Class,A Deck,A-23,"Barkworth, Mr Algernon H. Wilson",Cave List,
1,First Class,A Deck,A-24,"Roebling, Mr Washington Augustus II",Cave List,
1,First Class,A Deck,A-26,"Simonius-Blumer, Colonel Alfons",Cave List,
1,First Class,A Deck,A-29,"Evans, Miss Edith Corse",Cave List,
1,First Class,A Deck,A-31,"Blank, Mr Henry",Cave List,
1,First Class,A Deck,A-32,"Rood, Mr Hugh R.",Cave List,
1,First Class,A Deck,A-34,"Dodge, Dr. WashingtonDodge, Mrs Washington (Ruth Vidaver)Dodge, Master Washington",Cave List,
1,First Class,A Deck,A-34,"Dodge, Dr. WashingtonDodge, Mrs Washington (Ruth Vidaver)Dodge, Master Washington",Cave List,
1,First Class,A Deck,A-34,"Dodge, Dr. WashingtonDodge, Mrs Washington (Ruth Vidaver)Dodge, Master Washington",Cave List,
1,First Class,A Deck,A-36,"Andrews, Mr Thomas, jr",Ethes\' testimony at Senate inquiry,"Mr Andrews\' name does appear on the Cave List, but no cabin allocation is given. However, his bedroom steward Etches survived to confirm Andrews\' stateroom number."
1,First Class,A Deck,A-37,"Browne, Fr. Francis M., SJ - [Cross Channel Passenger]",Personal Account,A-36 and A-37 were late additions to the Titanic and did not appear on many cabin plans and were not numbered when they did. Mr Browne had some difficulty finding his cabin. He indicated it\'s position on his personal deck plan.
,,,,,,
0,First Class,B Deck,,,B Deck,"101 numbered cabins, 2 of which are sitting rooms. Therefore it has 99 bedrooms with accomodation for 183 passengers."
1,First Class,B Deck,B-3,"Robert, Mrs Edward Scott",Cave List,The Cave list places Miss Kreuchen (maid to Mrs Robert) in the same cabin but Miss Allen states that Kreuchen\'s cabin was forward on E-Deck (Gracie 1913)
1,First Class,B Deck,"B-2, 4 or 6 [?]","Brown, Mrs James Joseph (Margaret Tobin)",Gracie,"Colonel Archibald Gracie\'s book contains abstracts of many accounts and letters. Sent to him by passengers. One of them is by Mrs Candee. In it Mrs Candee also describes the events that Mrs Brown went through. It is from this account that we know that Mrs Brown occupied a forward B deck cabin, but precise whereabouts of which are much debated."
1,First Class,B Deck,B-5,"Allen, Miss Elisabeth WaltonMadill, Miss Georgette Alexandra",Cave List,
1,First Class,B Deck,B-5,"Allen, Miss Elisabeth WaltonMadill, Miss Georgette Alexandra",Cave List,
1,First Class,B Deck,B-10,"Brandeis, Mr Emil",Cave List,"Although according to the Cave List Mr Brandeis was assigned B-10, Mr Silverthorne said that Brandeis held a party for a dozen buyers in his suite. Although a dozen might be an exaggeration but even 5 people would not fit into B-10 and it would hardly be considered a suite. Mr Brandeis could have afforded a larger cabin and it is possible that he changed from B-10 to a suite after boarding or that the party took place elsewhere."
1,First Class,B Deck,B-11,"Head, Mr Christopher",Cave List,
1,First Class,B Deck,B-18,"Hippach, Mrs Louis AlbertHippach, Miss Jean Gertrude",Cave List,
1,First Class,B Deck,B-18,"Hippach, Mrs Louis AlbertHippach, Miss Jean Gertrude",Cave List,
1,First Class,B Deck,B-19,"Van der hoef, Mr Wyckoff",Cave List,
1,First Class,B Deck,B-20,"Dick, Mr Albert AdrianDick, Mrs Albert Adrian",Cave List,
1,First Class,B Deck,B-20,"Dick, Mr Albert AdrianDick, Mrs Albert Adrian",Cave List,
1,First Class,B Deck,B-22,"Crosby, Captain Edward GiffordCrosby, Mrs Edward Gifford",Cave List,
1,First Class,B Deck,B-22,"Crosby, Captain Edward GiffordCrosby, Mrs Edward Gifford",Cave List,
1,First Class,B Deck,B-24,"Payne, Mr Vivian Ponsonby [assistant to Mr Hays]","Deduced from
Cave List","Payne in mentioned separately on the Cave List, by his own name, but there is no cabin next to his name. Next to Mr and Mrs Hays\' name, cabins B-73 and B-24 are mentioned. Since we know that Mr Payne was travelling with them, we can deduce that the maid was in B-73 and Mr Payne was in B-24."
1,First Class,B Deck,B-26,"Crosby, Miss Harriet R.",Mrs Crosby\'s affidavit to the Senate inquiry,"Miss Crosby is not mentioned on the Cave List. Mrs Crosby\'s affidavit incliudes the following: ""she and her husband occupied stateroom No. 22 and her daughter occupied stateroom No. 26, they being first-class passengers on said steamer"""
1,First Class,B Deck,B-28,"Stone, Mrs George Nelson Icard, Miss Amelie (""Amelia _"") [maid to Mrs Stone]",Cave List,
1,First Class,B Deck,B-28,"Stone, Mrs George Nelson Icard, Miss Amelie (""Amelia _"") [maid to Mrs Stone]",Cave List,
1,First Class,B Deck,B-30,"Østby, Mr Engelhart Cornelius",Cave List,
1,First Class,B Deck,B-31 or 33 (?),"Stewart, Mr Albert A.",Speculation,"From the testimony of Mrs Bishop and bedroom steward Crawford we know that Mr Stewart was on the starboard side, in the forward section on B deck. Mrs Bishop said ""he had a stateroom near us"". She did not say next to or across the hall. This perhaps means he was not in either B-43 or B-47. Since he was not far from them, the nearest unoccupied cabins would be B-31 or B-33. Crawford, in his testimony, mentions taking lifebelts from the top of the wardrobe in Mr Stewart\'s cabin. There was only a walk-in wardrobe in B-43 where the lifebelts would have been kept on a rack on the floor. In cabins B-31 and B-33 the lifebelts would have been kept on top of the wardrobe."
1,First Class,B Deck,B-35,"Aubart, Mme. Leontine PaulineSägesser, Mlle. Emma [maid to Mme. Aubert]",Cave List,
1,First Class,B Deck,B-35,"Aubart, Mme. Leontine PaulineSägesser, Mlle. Emma [maid to Mme. Aubert]",Cave List,
1,First Class,B Deck,B-36,"Østby, Miss Helene Ragnhild",Cave List,
1,First Class,B Deck,B-37,"Kent, Mr Edward Austin",Cave List,
1,First Class,B Deck,B-38,"Butt, Major Archibald Willingham",Cave List,
1,First Class,B Deck,B-39,"Frölicher, Miss Hedwig Margaritha",Cave List,
1,First Class,B Deck,B-41,"Frölicher-Stehli, Mr Maximilian JosefFrölicher-Stehli, Mrs Maximilian Josef",Cave List,
1,First Class,B Deck,B-41,"Frölicher-Stehli, Mr Maximilian JosefFrölicher-Stehli, Mrs Maximilian Josef",Cave List,
1,First Class,B Deck,B-45,"Snyder, Mr John PillsburySnyder, Mrs John Pillsbury",Cave List,
1,First Class,B Deck,B-45,"Snyder, Mr John PillsburySnyder, Mrs John Pillsbury",Cave List,
1,First Class,B Deck,B-49,"Bishop, Mr Dickinson H.Bishop, Mrs Dickinson H. (Helen Walton)",Cave List,Mrs Bishop said B-47 at Senate inquiry this is probably a mistake or a transcription error.
1,First Class,B Deck,B-49,"Bishop, Mr Dickinson H.Bishop, Mrs Dickinson H. (Helen Walton)",Cave List,Mrs Bishop said B-47 at Senate inquiry this is probably a mistake or a transcription error.
1,First Class,B Deck,B-50,"Stähelin, Dr Max",Cave List,
1,First Class,B Deck,B-51-53-55,"Cardeza, Mrs James Warburton Martinez",Cave List,
1,First Class,B Deck,B-51-53-55,"Ward, Miss Anna [maid to Mrs Cardeza]",Cave List,See also B-101
1,First Class,B Deck,B-51-53-55,"Cardeza, Mr Thomas Drake Martinez",Cave List,Probably occupied B-55
1,First Class,B Deck,B-52-54-56,"Ismay, Mr Joseph Bruce",Ismay\'s testimony at the Senate inquiry.,"""B-52 is the room I had.""
""You had the suite?""
"" I had the suite."""
1,First Class,B Deck,B-57-59-61-63 (?),"Ryerson, Mr Arthur LarnedRyerson, Mrs Arthur Larned",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,Possibly in B-57
1,First Class,B Deck,B-57-59-61-63 (?),"Ryerson, Mr Arthur LarnedRyerson, Mrs Arthur Larned",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,Possibly in B-57
